Company,Romaji,Data Count,Label count,Assignee,Time estimate,Description
阪急交通社,Hankyu_Kotsu,13069,337,Bilguunbayar,3h,"Компаний 2 хэв маягтай, байршил ихэвчлэн баруун доод эсвэл голд байрласан. Чанаргүй бүрсгэр зураг цөөн. "
山田養蜂場,Yamada_Youhoujou,7265,,,,
クラブツーリズム,Club_Tourism,6026,,,,
４７ＣＬＵＢ,47CLUB,5205,,,,
オークローンマーケティング,Oak_Lawn_Marketing,5183,,,,
日本経済新聞社,Nihon_Keizai_Shinbun,5143,,,,
トヨタデーラー,Toyota_Dealer,4911,,,,
ティーバイティーガレージ,Tea_Byte_Garage,4506,,,,
富山常備薬グループ,Toyoma_Chugai_Group,4141,,,,
ＪＴＢ,JTB,3935,,,,
新日本製薬,Shin_Nihon_Seiyaku,3296,,,,
野草酵素,Yasou_Kosou,3236,74,Bilguunbayar,1h,Компаний нэр нэг зураг дээр 3 байх тохиолдол олон байсан. Нэр 3н хэв маягаар бичигдсэн. Чанартай томоор бичигдсэн тохиолдол их байсан ч хэтэрхий чанаргүй тохиолдолууд ч олон байсан. 
サントリーウエルネス,Suntory_Wellness,3233,,,,
マイケア,My_Care,3043,,,,
興和,Kowa,2970,,,,
あかひげ薬局,Akahige_Yakkyoku,2890,,,,
中日新聞社,Chunichi_Shinbun,2873,,,,
小林製薬,Kobayashi_Seiyaku,2666,,,,
講談社,Kodansha,2627,,,,
大正製薬,Taishou_Seiyaku,2501,,,,
毎日新聞社,Mainichi_Shinbun,2302,,,,
オリックス生命,Orix_Seimei,2288,,,,
小学館,Shougakukan,2265,,,,
文芸春秋,Bungeishunju,2237,,,,
学文社（がくぶん特選館）,Gakuin_Binran,2215,,,,
朝日新聞社,Asahi_Shinbun,2158,,,,
新光通販,Shinkou_Tsuhan,2151,,,,
双葉社,Futabasha,2135,,,,
万田発酵,Mandahakkou,2076,,,,
ドゥクラッセ,Dou_Class,2022,,,,
はぴねすくらぶ,Happiness_Club,2020,,,,
世田谷自然食品,Setegaya_Shizen_Shokuhin,1968,,,,
河野メリクロン,Kono_Merikuron,1834,,,,
新潮社,Shinchousha,1828,,,,
北海道新聞社,Hokkaido_Shinbun,1771,,,,
ダイハツデーラー,Daihatsu_Dealer,1756,,,,
産業経済新聞社,Sokoku_Shinbun,1701,,,,
ビデオリサーチ,Video_Research,1692,,,,
日本直販,Nippon_Chokuhan,1679,,,,
読売新聞社,Yomiuri_Shinbun,1668,,,,
加美乃素本舗,Kaminomoto_Honpo,1649,,,,
神戸新聞社,Kobe_Shinbun,1642,165,Yundendorj,3h,
杉乃井ホテル,Sugino_Hoteru,1613,,,,
佐々木食品工業,Sasaki_Shokuhin_Kougyou,1570,,,,
ＫＡＤＯＫＡＷＡ,Kadokawa,1494,,,,
静岡新聞社,Shizuoka_Shinbun,1480,210,Amgaa,3h,"Accuracy gonna be 80+%, I guarantee"
ライフアドシステム,Raifuadoshisutemu,1452,,,,
毎日元気,Mainichi_Genki,1452,295,Yundendorj,5h,
味の素,Ajinomoto,1449,,,,
農協,Noukyou,1435,,,,
日本経済新聞出版社,Nihon_Keizai_Shinbun_Shuppansha,1357,,,,
伸和ピアノ,Shinwa_Piano,1345,,,,
ホーリ通信,Houri_Tsuushin,1336,,,,
井上誠耕園,Inoue_Seikouen,1328,,,,
光文社,Koubunsha,1308,,,,
日経社通販歳時記,Nikkeisha_Tsuuhan_Saijiki,1272,,,,
水晶院,Suishou_In,1264,,,,
再春館製薬,Saishunkan_Seiyaku,1231,299,Bilguunbayar,5h,
ユーキャン,You_Can,1226,,,,
日産デーラー,Nissan_Dealer,1218,,,,
テレマルシェ,Teremarche,1212,,,,
ベルーナ,Beruuna,1196,,,,
サンスター,Sunstar,1175,,,,
ＪＡバンクグループ,JA_Bank_Group,1166,,,,
日本新聞協会,Nihon_Shinbun_Kyoukai,1165,,,,
八幡物産,Yawata_Bussan,1161,,,,
スズキデーラー,Suzuki_Dealer,1154,,,,
読売エージェンシー,Yomiuri_Agency,1113,,,,
エイチアイエス,HSI,1098,,,,
宝ヘルスケア,Takara_Health_Care,1084,,,,
中央公論新社,Chuokouron_Shinsha,1075,,,,
朝日新聞出版,Asahi_Shinbun_Shuppan,1057,,,,
集英社,Shueisha,1044,138,Yundendorj,1h 30min,Компаний нэрнээс гадна нэмж латинаар бичигдсэн логог тэмдэглэсэн. Тэмдэглэгдсэн нэр логоны гаргац ерөнхийдөө сайн.
大和ハウス工業,Daiwa_House_Industry,1043,,,,
ベンチャーバンク,Venture_Bank,1032,,,,
ダイト薬品,Daido_Chemical,979,,,,
アンターク本舗,Antaku_Honpo,971,,,,
文芸社,Bungeisha,964,,,,
おすそわけ村,Osuso_Wakemura,963,,,,
ロート製薬,Rooto_Seiyaku,947,,,,
エーアンドイー（通販）,A&Y,946,,,,
日経ＢＰ社,Nikkei_BP,932,,,,
トヨタ自動車,Toyota_Motor_Corporation,924,,,,
住之江競艇,Suminoe_Raceboat,919,,,,
毎日新聞出版,Mainichi_Shinbun_Shuppan,909,,,,
全国共済農業協同組合連合会,Nationwide_Mutual_Aid_Farming_Cooperative_Association,897,,,,
やずや,Yazuya,890,,,,
日刊工業新聞社,Nikkan_Kougyou_Shinbun,874,,,,
レミントン,Remington,865,,,,
本田デーラー,Honda_Dealer,860,,,,
ドクターシーラボ,Dr_Case_Lab,854,,,,
尼崎競艇,Amagasaki_Raceboat,840,,,,
ヴェントゥーノ,Ventuno,838,,,,
優生活,Eternal_Life,832,,,,
ライオン,Lion,831,,,,
金氏高麗人参,Kim_Myeong_Ginseng,830,82,Yundendorj,1h 20min,Компаний нэрнээс гадна лого тэмдэглэсэн.
ケーズホールディングス,K's_Holding,824,,,,
スカイネット,Skynet,814,,,,
日経ＢＰマーケティング,Nikkei_BP_Marketing,812,,,,
ベストショップ,Best_Shop,810,,,,
八ツ目製薬,Yatsume_Seiyaku,802,,,,
幻冬舎,Gentousha,796,,,,
ジャパネットたかた,Japanet_Takata,789,,,,
イメンス,Imensu,783,,,,
楽天,Rakuten,778,,,,
ワイドシステム,Wide_Systems,776,,,,
東京書芸館,Tokyo_Arts_Center,771,,,,
宝くじ,Takarakuji,764,,,,
ＳＵＢＡＲＵデーラー,Subaru_Dealer,756,,,,
ミル総本社,Mirusou_Honsha,753,,,,
ユーコー（通販）,Yuukou,742,,,,
日本盛,Nihon_Sakari,740,,,,
ムサシノ製薬,Musashino_Seiyaku,733,,,,
学びＵＰコミュニケーションズ,Manabi_UP_Communications,730,,,,
静岡放送,Shizuoka_Broadcasting,726,,,,
ヤマサキ（化粧品）,Yamasaki_Cosmetics,717,,,,
ほほえみ元気クラブ（ほほえみ元気クラブ）,Smile_Energetic_Club,709,,,,
読売旅行,Yomiuri_Trip,705,,,,
宝力本舗,Houriki_Honpo,696,,,,
キリンビール,Kirin_Beer,695,,,,
ＤＨＣ,DHC,692,,,,
商工会議所,Chamber_Of_Commerce,690,,,,
オリヂナル,Oridjinaru,682,,,,
ジャパンライブラリー,Japan_Library,668,,,,
神奈川新聞社,Kanagawa_Shinbun,667,,,,
アロエ本舗,Aloe_Honpo,661,,,,
宝島社,Takarajimasha,651,,,,
ＪＫＡ,JKA,646,,,,
スポニチプライム,Sponge_Prime,634,,,,
ロゼット,Rosette,634,,,,
ギャガ,Gyaga,623,,,,
扶桑社,Fusousha,619,,,,
ダイヤモンド社,Diamond_Company,615,,,,
岩波書店,Iwanami_Shouten,615,,,,
加茂繊維,Kamo_Fiber,614,,,,
九州国立博物館,Kyushu_National_Museum,604,,,,
協和発酵バイオ,Kyowa_Hakko_Baiyo,603,,,,
日刊スポーツ新聞社,Nikkan_Sport_Shinbun,592,,,,
ハウステンボス,Hausutenbosu,590,,,,
ゆこゆこ,Yuko_Yuko,588,,,,
河合塾,Kawaijuku,586,,,,
インシップ,Inshippu,581,,,,
伊東園ホテルグループ,Itouen_Hotel_Group,577,,,,
アフラック生命保険,Aflac_Life_Insurance,574,,,,
マキノ出版,Makino_Shuppan,572,,,,
マツダデーラー,Mazda_Dealer,570,,,,
プレジデント社,Purejidento_Sha,566,,,,
アサヒビール,Asahi_Beer,563,,,,
ベルコーポレーション,Bell_Corporation,558,,,,
全国通販,Zenkoku_Tsuuhan,548,,,,
サニーヘルス,Sunny_Health,546,,,,
ＢＯＡＴＲＡＣＥ振興会,Boatrace_Promotion_Association,543,,,,
毎日新聞旅行,Mainichi_Shinbun_Ryokou,543,,,,
ＡＣジャパン,AC_Japan,542,,,,
徳間書店,Tokuma_Shoten,540,,,,
ジャンボツアーズ,Jumbo_Tours,528,,,,
三宝堂,Mitsuhodo,526,,,,
日本たばこ産業（ＪＴ）,Japan_Tobacco_Inc,526,,,,
大和製薬,Yamato_Seiyaku,524,,,,
アサヒカルピスウェルネス,Asahi_Calpis_Wellness,520,,,,
琉球新報社,Ryukyusimposha,516,,,,
大江戸温泉物語,Oedo_Onsen_Monogatari,515,,,,
本田ヒルズタワークリニック,Honda_Hills_Tower_Clinic,515,,,,
京都新聞社,Kyoto_Shinbun,513,,,,
三晴社（医療用品・健康グッズ）,Sanseisha,509,,,,
キョードー,Kyodo,503,,,,
積水ハウス,Sekisui_House,502,,,,
西日本旅客鉄道,West_Japan_Railway,501,,,,
フジテレビジョン,Fuji_Television,,,,
脳内核酸,Nucleic_acid,,,,
神戸新聞松方ホール,Kobe_Newspaper_Matsukata_Hall,,,,